Timestamp,Channel_1
52:08.5,257641.89
52:08.6,247328.22
52:08.6,255468.75
52:08.7,254238.75
52:08.7,257641.89
52:08.8,257641.89
52:08.8,253321.84
52:08.9,252713.2
52:08.9,255160.45
52:09.0,253017.25
52:09.0,255777.58
52:09.1,250599.25
52:09.1,259841.8
52:09.2,252713.2
52:09.2,261111.08
52:09.3,257954.53
52:09.3,259210.5
52:09.4,253017.25
52:09.4,263676.75
52:09.5,257954.53
52:09.5,259210.5
52:09.6,254238.75
52:09.6,258581.41
52:09.7,258267.69
52:09.7,258267.69
52:09.8,262389.41
52:09.8,255468.75
52:09.9,254852.69
52:09.9,259210.5
52:10.0,254852.69
52:10.0,254545.47
52:10.1,262389.41
52:10.2,259210.5
52:10.2,253626.95
52:10.2,258581.41
52:10.3,254238.75
52:10.3,259210.5
52:10.4,261111.08
52:10.4,264323.88
52:10.5,259525.86
52:10.5,255777.58
52:10.6,253626.95
52:10.6,253017.25
52:10.7,262389.41
52:10.7,263353.97
52:10.8,259210.5
52:10.8,257954.53
52:10.9,259525.86
52:10.9,267924.53
52:11.0,262069.02
52:11.0,269251.56
52:11.1,250599.25
52:11.1,259841.8
52:11.2,253626.95
52:11.2,261749.08
52:11.3,254852.69
52:11.3,261111.08
52:11.4,259525.86
52:11.4,260475.41
52:11.5,253626.95
52:11.5,263031.84
52:11.6,254238.75
52:11.6,259525.86
52:11.7,257329.92
52:11.7,254238.75
52:11.8,255468.75
52:11.8,253017.25
52:11.9,247328.22
52:11.9,268255.41
52:12.0,250599.25
52:12.0,255160.45
52:12.1,253017.25
52:12.1,258267.69
52:12.2,259841.8
52:12.3,254852.69
52:12.3,261749.08
52:12.3,255777.58
52:12.4,253626.95
52:12.5,251804.16
52:12.5,257954.53
52:12.5,259210.5
52:12.6,260475.41
52:12.6,259210.5
52:12.7,254852.69
52:12.7,258267.69
52:12.8,258895.77
52:12.8,240682.14
52:12.9,259210.5
52:12.9,259210.5
52:13.0,260793.02
52:13.0,257954.53
52:13.1,254852.69
52:13.1,254545.47
52:13.2,259841.8
52:13.2,259525.86
52:13.3,263031.84
52:13.3,253626.95
52:13.4,261749.08
52:13.4,258581.41
52:13.5,258581.41
52:13.5,251804.16
52:13.6,255160.45
52:13.6,250299.44
52:13.7,262069.02
52:13.7,252713.2
52:13.8,258267.69
52:13.8,250599.25
52:13.9,259841.8
52:14.0,255777.58
52:14.0,258581.41
52:14.0,253017.25
52:14.1,262069.02
52:14.1,253321.84
52:14.2,259841.8
52:14.3,258581.41
52:14.3,258581.41
52:14.3,258581.41
52:14.4,257954.53
52:14.4,253321.84
52:14.5,265625.03
52:14.5,255468.75
52:14.6,265625.03
52:14.6,263676.75
52:14.7,264973.19
52:14.7,257954.53
52:14.8,263031.84
52:14.8,255160.45
52:14.9,258267.69
52:14.9,254238.75
52:15.0,263031.84
52:15.0,258267.69
52:15.1,261749.08
52:15.1,253321.84
52:15.2,265625.03
52:15.2,255468.75
52:15.3,265298.84
52:15.3,254852.69
52:15.4,261749.08
52:15.5,259210.5
52:15.5,259841.8
52:15.5,258581.41
52:15.6,259841.8
52:15.6,261749.08
52:15.7,259841.8
52:15.7,259525.86
52:15.8,257329.92
52:15.8,255468.75
52:15.9,262389.41
52:15.9,261749.08
52:16.0,257954.53
52:16.0,258267.69
52:16.1,261749.08
52:16.1,255468.75
52:16.2,260475.41
52:16.2,264323.88
52:16.3,261749.08
52:16.3,259210.5
52:16.4,265951.75
52:16.4,260475.41
52:16.5,260475.41
52:16.5,250599.25
52:16.6,258267.69
52:16.6,257954.53
52:16.7,261749.08
52:16.8,255468.75
52:16.8,261749.08
52:16.8,253626.95
52:16.9,261111.08
52:16.9,258267.69
52:17.0,253626.95
52:17.0,259210.5
52:17.1,247033.86
52:17.1,254238.75
52:17.2,253626.95
52:17.2,254545.47
52:17.3,255468.75
52:17.3,253017.25
52:17.4,263031.84
52:17.4,259525.86
52:17.5,257641.89
52:17.5,264323.88
52:17.6,258267.69
52:17.6,262069.02
52:17.7,254545.47
52:17.7,263676.75
52:17.8,255777.58
52:17.8,263676.75
52:17.9,240965.89
52:17.9,257329.92
52:18.0,258895.77
52:18.0,255777.58
52:18.1,258581.41
52:18.1,261111.08
52:18.2,258581.41
52:18.3,257329.92
52:18.3,257954.53
52:18.3,250599.25
52:18.4,254852.69
52:18.4,253017.25
52:18.5,255468.75
52:18.5,254852.69
52:18.6,253321.84
52:18.6,258267.69
52:18.7,258581.41
52:18.7,255468.75
52:18.8,254545.47
52:18.8,262389.41
52:18.9,257954.53
52:18.9,259210.5
52:19.0,252409.56
52:19.0,259841.8
52:19.1,255468.75
52:19.1,263676.75
52:19.2,255160.45
52:19.2,264323.88
52:19.3,259841.8
52:19.3,264323.88
52:19.4,259210.5
52:19.4,259210.5
52:19.5,258267.69
52:19.5,263353.97
52:19.6,257954.53
52:19.6,260475.41
52:19.8,265951.75
52:19.8,255468.75
52:19.9,259525.86
52:19.9,259841.8
52:20.0,254238.75
52:20.1,253017.25
52:20.1,255468.75
52:20.1,260158.27
52:20.2,259525.86
52:20.2,253321.84
52:20.3,262069.02
52:20.4,258581.41
52:20.4,259525.86
52:20.4,265625.03
52:20.5,261749.08
52:20.5,259841.8
52:20.6,265625.03
52:20.7,254852.69
52:20.7,264323.88
52:20.7,252409.56
52:20.8,259210.5
52:20.8,254545.47
52:20.9,266935.5
52:21.0,261429.78
52:21.0,258581.41
52:21.0,262389.41
52:21.1,261429.78
52:21.1,259210.5
52:21.2,258895.77
52:21.3,262069.02
52:21.3,258581.41
52:21.3,259525.86
52:21.4,254238.75
52:21.4,258581.41
52:21.5,255468.75
52:21.6,259841.8
52:21.6,254545.47
52:21.6,257954.53
52:21.7,259210.5
52:21.7,261749.08
52:21.8,259210.5
52:21.9,258895.77
52:21.9,261749.08
52:21.9,262389.41
52:22.0,259525.86
52:22.0,259841.8
52:22.1,257641.89
52:22.2,259525.86
52:22.2,257329.92
52:22.2,260793.02
52:22.3,258895.77
52:22.3,265625.03
52:22.4,255468.75
52:22.5,259525.86
52:22.5,254238.75
52:22.5,259210.5
52:22.6,252713.2
52:22.6,257954.53
52:22.7,248807.45
52:22.8,259841.8
52:22.8,257954.53
52:22.8,259841.8
52:22.9,252106.55
52:22.9,262389.41
52:23.0,255468.75
52:23.1,263676.75
52:23.1,259210.5
52:23.1,264323.88
52:23.2,261749.08
52:23.2,261749.08
52:23.3,261111.08
52:23.4,259525.86
52:23.4,257954.53
52:23.4,263676.75
52:23.5,260158.27
52:23.5,264000.03
52:23.6,259841.8
52:23.7,264323.88
52:23.7,257954.53
52:23.7,262710.41
52:23.8,257954.53
52:23.8,262389.41
52:23.9,255777.58
52:24.0,258581.41
52:24.0,263676.75
52:24.0,263676.75
52:24.1,262069.02
52:24.1,263031.84
52:24.2,255468.75
52:24.3,264648.19
52:24.3,261749.08
52:24.3,263031.84
52:24.4,259525.86
52:24.4,263676.75
52:24.5,261749.08
52:24.6,259525.86
52:24.6,258581.41
52:24.6,263353.97
52:24.7,263031.84
52:24.7,255468.75
52:24.8,257641.89
52:24.9,259525.86
52:24.9,261749.08
52:24.9,259525.86
52:25.0,259210.5
52:25.0,258581.41
52:25.1,261749.08
52:25.2,255777.58
52:25.2,259841.8
52:25.2,262389.41
52:25.3,263031.84
52:25.3,260475.41
52:25.4,255468.75
52:25.5,258581.41
52:25.5,259841.8
