#,Thumb,Index,Middle,Ring,Pinky
calib_closed,166786.55,645400.19,210874.66,159935.43,246920.50
calib_half,168166.05,536475.05,195054.10,150579.83,220416.28
calib_open,165513.87,491235.01,179621.84,142322.23,195716.00
calib_span,1272.68,154165.18,31252.82,17613.20,51204.50

time_s,Thumb,Index,Middle,Ring,Pinky,ch15,ch16,ch17
0.0250,0.00000,0.00000,0.00000,0.00000,0.00000,-0.12470,-0.20540,-0.95940
0.0420,0.00000,0.00000,0.00000,0.00000,0.00000,-0.12470,-0.20540,-0.95940
0.0600,0.78992,-0.99478,-0.97796,-0.96639,-0.97262,-0.12930,-0.17490,-0.96770
0.0770,0.81827,-0.99758,-0.99186,-0.96346,-0.97449,-0.13790,-0.18080,-0.96180
0.0930,0.81827,-0.99758,-0.99186,-0.96346,-0.97449,-0.13790,-0.18080,-0.96180
0.1100,0.81827,-0.99758,-0.99186,-0.96346,-0.97449,-0.13790,-0.18080,-0.96180
0.1260,0.82912,-0.99633,-1.00000,-0.95994,-0.97634,-0.12540,-0.18230,-0.94920
0.1430,0.82912,-0.99633,-1.00000,-0.95994,-0.97634,-0.12540,-0.18230,-0.94920
0.1600,0.82912,-0.99633,-1.00000,-0.95994,-0.97634,-0.12540,-0.18230,-0.94920
0.1760,0.85530,-0.99510,-1.00000,-0.95644,-0.97522,-0.12030,-0.18230,-0.94700
0.1920,0.86614,-0.99427,-1.00000,-0.95175,-0.97045,-0.12250,-0.20330,-0.95140
0.2090,0.86614,-0.99427,-1.00000,-0.95175,-0.97045,-0.12250,-0.20330,-0.95140
0.2260,0.86614,-0.99427,-1.00000,-0.95175,-0.97045,-0.12250,-0.20330,-0.95140
0.2430,0.89432,-0.99014,-1.00000,-0.95000,-0.96491,-0.11610,-0.17450,-0.95060
0.2590,0.89432,-0.99014,-1.00000,-0.95000,-0.96491,-0.11610,-0.17450,-0.95060
0.2760,0.89432,-0.99014,-1.00000,-0.95000,-0.96491,-0.11610,-0.17450,-0.95060
