#,Thumb,Index,Middle,Ring,Pinky,ch15,ch16,ch17
calib_closed,114954.78,135115.07,155290.79,126601.36,124314.97,,,
calib_half,113928.07,125202.51,165044.76,119316.84,116570.69,,,
calib_open,104107.11,114771.06,204350.98,116003.54,107763.68,,,
calib_span,10847.67,20344.01,49060.19,10597.82,16551.30,,,

time_s,Thumb,Index,Middle,Ring,Pinky,ch15,ch16,ch17
0.0160,0.00000,0.00000,0.00000,0.00000,0.00000,0.35750,-0.07100,-0.91380
0.0320,0.00000,0.00000,0.00000,0.00000,0.00000,0.35750,-0.07100,-0.91380
0.0490,0.00000,0.00000,0.00000,0.00000,0.00000,0.35750,-0.07100,-0.91380
0.0660,0.99857,0.98215,1.00000,1.00000,0.96891,0.34750,-0.07340,-0.91740
0.0830,0.99857,0.98215,1.00000,1.00000,0.96891,0.34750,-0.07340,-0.91740
0.0990,0.99857,0.98215,1.00000,1.00000,0.96891,0.34750,-0.07340,-0.91740
0.1160,0.99992,0.98396,1.00000,1.00000,0.96252,0.33400,-0.07730,-0.90650
0.1330,0.99716,0.98432,1.00000,1.00000,0.95852,0.33550,-0.07200,-0.90350
0.1500,0.99716,0.98432,1.00000,1.00000,0.95852,0.33550,-0.07200,-0.90350
0.1660,0.99716,0.98432,1.00000,1.00000,0.95852,0.33550,-0.07200,-0.90350
0.1840,0.99785,0.98324,1.00000,1.00000,0.95491,0.34770,-0.07300,-0.89600
0.2010,0.99785,0.98324,1.00000,1.00000,0.95491,0.34770,-0.07300,-0.89600
0.2180,0.99785,0.98324,1.00000,1.00000,0.95491,0.34770,-0.07300,-0.89600
0.2350,0.99822,0.97927,1.00000,1.00000,0.95611,0.33570,-0.04880,-0.90690
0.2510,0.99649,0.97638,1.00000,1.00000,0.94730,0.33940,-0.07660,-0.90960
0.2670,0.99649,0.97638,1.00000,1.00000,0.94730,0.33940,-0.07660,-0.90960
0.2830,0.99649,0.97638,1.00000,1.00000,0.94730,0.33940,-0.07660,-0.90960
0.3000,0.99684,0.97639,1.00000,1.00000,0.93888,0.34040,-0.06120,-0.90650
0.3180,0.99684,0.97639,1.00000,1.00000,0.93888,0.34040,-0.06120,-0.90650
0.3340,0.99684,0.97639,1.00000,1.00000,0.93888,0.34040,-0.06120,-0.90650
0.3500,0.99684,0.97639,1.00000,1.00000,0.93888,0.34040,-0.06120,-0.90650
0.3670,0.99272,0.96844,1.00000,1.00000,0.92365,0.34940,-0.07690,-0.89940
0.3840,0.99272,0.96844,1.00000,1.00000,0.92365,0.34940,-0.07690,-0.89940
0.4000,0.99272,0.96844,1.00000,1.00000,0.92365,0.34940,-0.07690,-0.89940
0.4170,0.99410,0.96230,1.00000,1.00000,0.92123,0.34600,-0.07930,-0.91520
0.4330,0.99410,0.96049,1.00000,1.00000,0.91963,0.34380,-0.07810,-0.91160
0.4490,0.99410,0.96049,1.00000,1.00000,0.91963,0.34380,-0.07810,-0.91160
0.4660,0.99410,0.96049,1.00000,1.00000,0.91963,0.34380,-0.07810,-0.91160
0.4820,0.99445,0.95760,1.00000,1.00000,0.91642,0.34750,-0.07470,-0.91350
0.4990,0.99445,0.95760,1.00000,1.00000,0.91642,0.34750,-0.07470,-0.91350
0.5160,0.99445,0.95760,1.00000,1.00000,0.91642,0.34750,-0.07470,-0.91350
0.5320,0.99445,0.95760,1.00000,1.00000,0.91642,0.34750,-0.07470,-0.91350
0.5490,0.98823,0.95290,1.00000,1.00000,0.89914,0.33230,-0.06710,-0.89280
0.5660,0.98927,0.94820,1.00000,1.00000,0.89551,0.32870,-0.08340,-0.90600
0.5830,0.98927,0.94820,1.00000,1.00000,0.89551,0.32870,-0.08340,-0.90600
0.5990,0.98823,0.94783,1.00000,1.00000,0.89229,0.33960,-0.05730,-0.90280
0.6160,0.98823,0.94783,1.00000,1.00000,0.89229,0.33960,-0.05730,-0.90280
