#,Thumb,Index,Middle,Ring,Pinky,ch15,ch16,ch17
calib_closed,101443.98,128958.73,163505.75,113094.69,99855.89,,,
calib_half,107498.36,115819.89,152139.29,105535.58,96680.41,,,
calib_open,100318.45,104667.19,162140.04,100431.27,103414.96,,,
calib_span,1125.53,24291.55,1365.71,12663.41,3559.08,,,

time_s,Thumb,Index,Middle,Ring,Pinky,ch15,ch16,ch17
0.0170,0.00000,0.00000,0.00000,0.00000,0.00000,0.22080,0.22940,-0.90060
0.0330,0.00000,0.00000,0.00000,0.00000,0.00000,0.22080,0.22940,-0.90060
0.0490,0.55801,0.99590,-1.00000,0.95814,1.00000,0.22160,0.24940,-0.92500
0.0660,0.56385,0.99620,-1.00000,0.96201,1.00000,0.22520,0.24720,-0.92600
0.0830,0.56385,0.99620,-1.00000,0.96201,1.00000,0.22520,0.24720,-0.92600
0.0990,0.56385,0.99620,-1.00000,0.96201,1.00000,0.22520,0.24720,-0.92600
0.1150,0.57558,0.99712,-1.00000,0.96459,1.00000,0.21690,0.24160,-0.91160
0.1320,0.57558,0.99712,-1.00000,0.96459,1.00000,0.21690,0.24160,-0.91160
0.1500,0.57558,0.99712,-1.00000,0.96459,1.00000,0.21690,0.24160,-0.91160
0.1670,0.55529,0.99712,-1.00000,0.96975,1.00000,0.22640,0.22840,-0.91550
0.1840,0.50282,0.99865,-1.00000,0.98125,1.00000,0.22470,0.24400,-0.93230
0.2000,0.45920,1.00000,-1.00000,0.97932,1.00000,0.21570,0.24940,-0.90910
0.2170,0.45920,1.00000,-1.00000,0.97932,1.00000,0.21570,0.24940,-0.90910
0.2330,0.45039,1.00000,-1.00000,0.96206,1.00000,0.21640,0.23380,-0.91890
0.2500,0.45039,1.00000,-1.00000,0.96206,1.00000,0.21640,0.23380,-0.91890
0.2660,0.45039,1.00000,-1.00000,0.96206,1.00000,0.21640,0.23380,-0.91890
0.2820,0.45039,1.00000,-1.00000,0.96206,1.00000,0.21640,0.23380,-0.91890
0.2980,0.38349,0.99556,-0.81223,0.94738,1.00000,0.21350,0.23940,-0.92820
0.3140,0.38349,0.99556,-0.81223,0.94738,1.00000,0.21350,0.23940,-0.92820
0.3310,0.38349,0.99556,-0.81223,0.94738,1.00000,0.21350,0.23940,-0.92820
0.3480,0.35708,0.99587,0.00000,0.94481,1.00000,0.21400,0.24810,-0.91600
0.3640,0.29296,0.99403,0.00000,0.94160,1.00000,0.21370,0.24060,-0.91430
0.3800,0.29296,0.99403,0.00000,0.94160,1.00000,0.21370,0.24060,-0.91430
0.3960,0.29296,0.99403,0.00000,0.94160,1.00000,0.21370,0.24060,-0.91430
0.4130,0.24319,0.99311,0.00000,0.96017,1.00000,0.21810,0.23940,-0.92060
0.4300,0.25487,0.99067,0.00000,0.96081,1.00000,0.22250,0.23420,-0.91790
0.4460,0.25487,0.99067,0.00000,0.96081,1.00000,0.22250,0.23420,-0.91790
0.4630,0.25487,0.99067,0.00000,0.96081,1.00000,0.22250,0.23420,-0.91790
0.4800,0.23137,0.98945,0.00000,0.96850,1.00000,0.21550,0.24960,-0.91650
0.4960,0.23137,0.98945,0.00000,0.96850,1.00000,0.21550,0.24960,-0.91650
0.5130,0.23137,0.98945,0.00000,0.96850,1.00000,0.21550,0.24960,-0.91650
0.5290,0.16725,0.98884,0.00000,0.95952,1.00000,0.21720,0.24990,-0.92400
0.5470,0.19924,0.98363,0.00000,0.96402,1.00000,0.21790,0.24200,-0.91400
0.5630,0.19924,0.98363,0.00000,0.96402,1.00000,0.21790,0.24200,-0.91400
0.5790,0.19924,0.98363,0.00000,0.96402,1.00000,0.21790,0.24200,-0.91400
0.5950,0.20802,0.98363,0.00000,0.95950,1.00000,0.21840,0.24250,-0.91550
0.6120,0.20802,0.98363,0.00000,0.95950,1.00000,0.21840,0.24250,-0.91550
0.6280,0.20802,0.98363,0.00000,0.95950,1.00000,0.21840,0.24250,-0.91550
0.6440,0.20802,0.98363,0.00000,0.95950,1.00000,0.21840,0.24250,-0.91550
0.6600,0.24898,0.97964,0.00000,0.95499,1.00000,0.21420,0.24520,-0.92060
0.6760,0.24898,0.97964,0.00000,0.95499,1.00000,0.21420,0.24520,-0.92060
0.6930,0.24898,0.97964,0.00000,0.95499,1.00000,0.21420,0.24520,-0.92060
0.7100,0.18441,0.98240,0.00000,0.96073,1.00000,0.21590,0.24200,-0.91670
0.7270,0.22250,0.97719,0.00000,0.95242,1.00000,0.22400,0.24940,-0.91330
0.7440,0.22250,0.97719,0.00000,0.95242,1.00000,0.22400,0.24940,-0.91330
0.7610,0.22250,0.97719,0.00000,0.95242,1.00000,0.22400,0.24940,-0.91330
0.7770,0.19911,0.97627,0.00000,0.92485,1.00000,0.22230,0.25620,-0.91280
0.7940,0.19911,0.97627,0.00000,0.92485,1.00000,0.22230,0.25620,-0.91280
0.8110,0.19911,0.97627,0.00000,0.92485,1.00000,0.22230,0.25620,-0.91280
0.8290,0.17854,0.97812,0.00000,0.92357,1.00000,0.21860,0.23940,-0.92130
0.8450,0.12904,0.98026,0.00000,0.91583,1.00000,0.21300,0.25620,-0.92180
0.8620,0.12904,0.98026,0.00000,0.91583,1.00000,0.21300,0.25620,-0.92180
0.8780,0.12904,0.98026,0.00000,0.91583,1.00000,0.21300,0.25620,-0.92180
0.8940,0.15541,0.97812,0.00000,0.93250,1.00000,0.21890,0.24860,-0.91230
0.9110,0.15541,0.97812,0.00000,0.93250,1.00000,0.21890,0.24860,-0.91230
0.9280,0.15541,0.97812,0.00000,0.93250,1.00000,0.21890,0.24860,-0.91230
0.9440,0.15541,0.97812,0.00000,0.93250,1.00000,0.21890,0.24860,-0.91230
0.9610,0.12304,0.98365,0.00000,0.95875,1.00000,0.21910,0.25960,-0.92260
0.9780,0.12304,0.98365,0.00000,0.95875,1.00000,0.21910,0.25960,-0.92260
0.9950,0.12304,0.98365,0.00000,0.95875,1.00000,0.21910,0.25960,-0.92260
1.0110,0.16383,0.98425,-0.63450,0.95172,1.00000,0.21910,0.24520,-0.91520
