time_s,Thumb
0.0170,0.00000
0.0330,0.00000
0.0550,-0.93660
0.0720,-0.93660
0.0890,-0.93660
0.1060,-0.92789
0.1230,-0.92654
0.1400,-0.92654
0.1570,-0.92654
0.1750,-0.91851
0.1910,-0.91851
0.2080,-0.91851
0.2240,-0.91851
0.2430,-0.91851
0.2600,-0.91851
0.2770,-0.90778
0.2930,-0.90608
0.3100,-0.90608
0.3270,-0.90608
0.3450,-0.90137
0.3620,-0.90137
0.3780,-0.90137
0.3940,-0.89298
0.4100,-0.90435
0.4270,-0.89765
0.4440,-0.89765
0.4600,-0.89828
0.4770,-0.89402
0.4940,-0.89402
0.5110,-0.89402
0.5280,-0.89402
0.5440,-0.89402
0.5610,-0.89402
0.5770,-0.89402
0.5940,-0.89402
0.6100,-0.89402
0.6270,-0.89402
0.6440,-0.89504
0.6610,-0.89504
0.6770,-0.89504
0.6930,-0.89504
0.7110,-0.89568
0.7270,-0.89568
0.7440,-0.89568
0.7620,-0.89635
0.7790,-0.89635
0.7960,-0.89635
0.8120,-0.89635
0.8280,-0.90004
0.8440,-0.90004
0.8600,-0.90004
0.8760,-0.89577
0.8940,-0.88938
0.9110,-0.88938
0.9270,-0.88938
0.9440,-0.88938
0.9610,-0.88938
0.9770,-0.88938
0.9940,-0.88938
1.0100,-0.86941
1.0270,-0.86941
1.0440,-0.86941
1.0610,-0.86109
1.0780,-0.85673
1.0960,-0.85673
1.1130,-0.85673
1.1300,-0.84755
1.1460,-0.84755
1.1630,-0.84755
1.1790,-0.83786
1.1960,-0.84580
1.2130,-0.84580
1.2290,-0.84580
1.2450,-0.85786
1.2610,-0.85945
1.2770,-0.85945
1.2940,-0.85575
1.3110,-0.85575
1.3280,-0.85575
1.3450,-0.85575
1.3610,-0.85372
1.3780,-0.86486
1.3950,-0.86486
1.4110,-0.86486
1.4280,-0.85191
1.4440,-0.85191
1.4610,-0.85191
1.4780,-0.84530
1.4940,-0.84530
1.5100,-0.84530
1.5270,-0.84530
1.5440,-0.83275
1.5600,-0.83275
1.5770,-0.83275
1.5930,-0.83275
1.6090,-0.74869
1.6260,-0.73749
1.6430,-0.73749
1.6590,-0.67237
1.6770,-0.61042
1.6940,-0.61042
1.7100,-0.61042
1.7260,-0.59273
1.7430,-0.59273
1.7590,-0.59273
1.7750,-0.51791
1.7920,-0.44054
1.8090,-0.44054
1.8260,-0.44054
