time_s,Thumb,Index,Middle,Ring,Pinky
0.0160,0.00000,0.00000,0.00000,0.00000,0.00000
0.0320,0.00000,0.00000,0.00000,0.00000,0.00000
0.0480,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.0650,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.0820,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.1000,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.1180,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.1340,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.1500,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.1660,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.1820,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.1990,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.2160,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.2320,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.2490,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.2660,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.2820,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.2980,-1.00000,-1.00000,-1.00000,-0.95461,-1.00000
0.3150,-1.00000,-1.00000,-1.00000,-0.95461,-1.00000
0.3320,-1.00000,-1.00000,-1.00000,-0.95461,-1.00000
0.3490,-1.00000,-1.00000,-1.00000,-0.95461,-1.00000
0.3650,-1.00000,-1.00000,-1.00000,-0.95461,-1.00000
0.3830,-1.00000,-1.00000,-1.00000,-0.95461,-1.00000
0.4020,-1.00000,-1.00000,-1.00000,-0.94197,-1.00000
0.4200,-1.00000,-1.00000,-1.00000,-0.97335,-1.00000
0.4370,-1.00000,-1.00000,-1.00000,-0.97335,-1.00000
0.4540,-1.00000,-1.00000,-1.00000,-0.97335,-1.00000
0.4720,-1.00000,-1.00000,-1.00000,-0.99193,-1.00000
0.4880,-1.00000,-1.00000,-1.00000,-0.99193,-1.00000
0.5050,-1.00000,-1.00000,-1.00000,-0.99193,-1.00000
0.5210,-1.00000,-0.72258,-1.00000,-1.00000,-1.00000
0.5370,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.5530,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.5700,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.5870,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.6040,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.6210,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.6370,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.6530,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.6710,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.6870,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.7030,-1.00000,-1.00000,-1.00000,-1.00000,-0.97300
0.7190,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.7360,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.7530,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.7700,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.7870,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.8030,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.8200,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.8370,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.8540,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.8700,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.8860,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.9020,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.9180,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.9350,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.9520,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.9700,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
0.9870,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
1.0040,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
1.0210,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
1.0370,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
1.0530,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
1.0690,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
1.0850,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
1.1020,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
1.1190,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
1.1360,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
1.1520,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
1.1680,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
1.1840,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
1.2010,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
1.2180,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
1.2340,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000
1.2510,-1.00000,-1.00000,-1.00000,-0.91073,-1.00000
1.2680,-1.00000,-1.00000,-1.00000,-0.91073,-1.00000
1.2850,-1.00000,-1.00000,-1.00000,-0.91073,-1.00000
