time_s,Thumb,Index,Middle,Ring,Pinky
0.0160,0.00000,0.00000,0.00000,0.00000,0.00000
0.0330,-1.00000,-0.96952,-1.00000,-0.99472,-1.00000
0.0490,-1.00000,-0.96991,-1.00000,-0.99471,-1.00000
0.0660,-1.00000,-0.96991,-1.00000,-0.99471,-1.00000
0.0830,-1.00000,-0.96991,-1.00000,-0.99471,-1.00000
0.0990,-1.00000,-0.98567,-1.00000,-0.98801,-1.00000
0.1160,-1.00000,-0.97974,-1.00000,-0.98926,-1.00000
0.1320,-1.00000,-0.97974,-1.00000,-0.98926,-1.00000
0.1480,-1.00000,-0.97550,-1.00000,-0.98885,-1.00000
0.1640,-1.00000,-0.97508,-1.00000,-0.99472,-1.00000
0.1810,-1.00000,-0.97508,-1.00000,-0.99472,-1.00000
0.1980,-1.00000,-0.97508,-1.00000,-0.99472,-1.00000
0.2140,-1.00000,-0.98574,-1.00000,-1.00000,-1.00000
0.2310,-1.00000,-0.98777,-1.00000,-0.99976,-1.00000
0.2480,-1.00000,-0.98777,-1.00000,-0.99976,-1.00000
0.2640,-1.00000,-0.98777,-1.00000,-0.99976,-1.00000
0.2810,-1.00000,-0.99454,-1.00000,-0.99684,-1.00000
0.2980,-1.00000,-0.99454,-1.00000,-0.99684,-1.00000
0.3150,-1.00000,-0.99454,-1.00000,-0.99684,-1.00000
0.3310,-1.00000,-1.00000,-1.00000,-0.99935,-1.00000
0.3470,-1.00000,-0.99124,-1.00000,-0.98934,-1.00000
0.3640,-1.00000,-0.99124,-1.00000,-0.98934,-1.00000
0.3820,-1.00000,-0.99124,-1.00000,-0.98934,-1.00000
0.3990,-1.00000,-0.98006,-1.00000,-0.99477,-1.00000
0.4160,-1.00000,-0.98006,-1.00000,-0.99477,-1.00000
0.4320,-1.00000,-0.98006,-1.00000,-0.99477,-1.00000
0.4510,-1.00000,-0.98544,-1.00000,-0.99311,-1.00000
0.4680,-1.00000,-0.98544,-1.00000,-0.99311,-1.00000
