time_s,Thumb
0.0170,-1.00000
0.0330,-1.00000
0.0500,-1.00000
0.0670,-1.00000
0.0850,-1.00000
0.1020,-1.00000
0.1190,-1.00000
0.1360,-1.00000
0.1520,-1.00000
0.1680,-1.00000
0.1850,-1.00000
0.2010,-1.00000
0.2170,-1.00000
0.2340,-1.00000
0.2520,-1.00000
0.2680,-1.00000
0.2840,-1.00000
0.3010,-1.00000
0.3180,-1.00000
0.3350,-1.00000
0.3510,-1.00000
0.3670,-1.00000
0.3830,-1.00000
0.4000,-1.00000
0.4180,-1.00000
0.4350,-1.00000
0.4520,-1.00000
0.4690,-1.00000
0.4850,-1.00000
0.5010,-1.00000
0.5200,-1.00000
0.5360,-1.00000
0.5530,-1.00000
0.5700,-1.00000
0.5860,-1.00000
0.6020,-1.00000
0.6190,-1.00000
0.6360,-1.00000
0.6540,-1.00000
0.6710,-1.00000
0.6880,-1.00000
0.7050,-1.00000
0.7220,-1.00000
0.7390,-1.00000
0.7570,-1.00000
0.7730,-1.00000
0.7890,-1.00000
0.8070,-1.00000
0.8230,-1.00000
0.8400,-1.00000
0.8580,-1.00000
0.8750,-1.00000
0.8920,-1.00000
0.9090,-1.00000
0.9250,-1.00000
0.9420,-1.00000
0.9580,-1.00000
0.9740,-1.00000
0.9910,-1.00000
1.0080,-1.00000
1.0250,-1.00000
1.0420,-1.00000
1.0590,-1.00000
1.0760,-1.00000
1.0930,-1.00000
1.1090,-1.00000
1.1260,-1.00000
1.1420,-1.00000
1.1580,-1.00000
1.1750,-1.00000
1.1920,-1.00000
1.2080,-1.00000
1.2250,-1.00000
1.2430,-1.00000
1.2600,-1.00000
1.2770,-1.00000
1.2940,-1.00000
1.3100,-1.00000
1.3270,-1.00000
1.3430,-1.00000
1.3600,-1.00000
1.3770,-1.00000
1.3950,-1.00000
1.4130,-1.00000
1.4290,-1.00000
1.4460,-1.00000
1.4620,-1.00000
1.4800,-1.00000
1.4970,-1.00000
1.5130,-1.00000
1.5300,-1.00000
1.5470,-1.00000
1.5640,-1.00000
1.5810,-1.00000
1.5980,-1.00000
1.6150,-1.00000
1.6310,-1.00000
1.6480,-1.00000
1.6640,-1.00000
1.6810,-1.00000
1.6970,-1.00000
1.7140,-1.00000
1.7300,-1.00000
1.7460,-1.00000
1.7630,-1.00000
1.7790,-1.00000
1.7960,-1.00000
1.8130,-1.00000
1.8290,-1.00000
1.8460,-1.00000
1.8630,-1.00000
1.8800,-1.00000
1.8970,-1.00000
1.9130,-1.00000
1.9290,-1.00000
1.9460,-1.00000
1.9620,-1.00000
1.9790,-1.00000
1.9950,-1.00000
2.0120,-1.00000
2.0290,-1.00000
2.0460,-1.00000
2.0620,-1.00000
2.0790,-1.00000
2.0960,-1.00000
2.1120,-1.00000
2.1290,-1.00000
2.1460,-1.00000
2.1620,-1.00000
2.1790,-1.00000
2.1960,-1.00000
2.2130,-1.00000
2.2300,-1.00000
2.2460,-1.00000
2.2630,-1.00000
2.2800,-1.00000
2.2960,-1.00000
2.3120,-1.00000
2.3290,-1.00000
2.3450,-1.00000
2.3620,-1.00000
2.3800,-1.00000
2.3960,-1.00000
2.4130,-1.00000
2.4290,-1.00000
2.4450,-1.00000
2.4620,-1.00000
2.4790,-1.00000
2.4950,-1.00000
2.5130,-1.00000
2.5300,-1.00000
2.5460,-1.00000
2.5620,-1.00000
2.5790,-1.00000
2.5950,-1.00000
2.6120,-1.00000
2.6280,-1.00000
2.6450,-1.00000
2.6610,-1.00000
2.6770,-1.00000
2.6940,-1.00000
2.7110,-1.00000
2.7270,-1.00000
2.7430,-1.00000
2.7600,-1.00000
2.7770,-1.00000
2.7940,-1.00000
2.8110,-1.00000
2.8290,-1.00000
2.8460,-1.00000
2.8620,-1.00000
2.8790,-1.00000
2.8960,-1.00000
2.9130,-1.00000
2.9300,-1.00000
2.9460,-1.00000
2.9630,-1.00000
2.9800,-1.00000
2.9970,-1.00000
3.0140,-1.00000
3.0310,-1.00000
3.0480,-1.00000
3.0660,-1.00000
3.0830,-1.00000
3.1000,-1.00000
3.1160,-1.00000
3.1320,-1.00000
3.1490,-1.00000
3.1650,-1.00000
3.1820,-1.00000
3.1980,-1.00000
3.2150,-1.00000
3.2310,-1.00000
3.2480,-1.00000
3.2640,-1.00000
3.2800,-1.00000
3.2970,-1.00000
3.3140,-1.00000
3.3310,-1.00000
3.3470,-1.00000
3.3640,-1.00000
3.3800,-1.00000
3.3980,-1.00000
3.4150,-1.00000
3.4310,-1.00000
3.4470,-1.00000
3.4640,-1.00000
3.4810,-1.00000
3.4980,-1.00000
3.5140,-1.00000
3.5300,-1.00000
3.5470,-1.00000
3.5640,-1.00000
3.5810,-1.00000
3.5980,-1.00000
3.6140,-1.00000
3.6310,-1.00000
3.6470,-1.00000
3.6640,-1.00000
3.6810,-1.00000
3.6990,-1.00000
3.7150,-1.00000
3.7310,-1.00000
3.7470,-1.00000
