time_s,Thumb,Index,Middle,Ring,Pinky
0.0160,0.00000,0.00000,0.00000,0.00000,0.00000
0.0330,0.00000,0.00000,0.00000,0.00000,0.00000
0.0500,0.00000,0.00000,0.00000,0.00000,0.00000
0.0660,-1.00000,-0.95409,-1.00000,-0.99238,-1.00000
0.0820,-1.00000,-0.95409,-1.00000,-0.99238,-1.00000
0.0990,-1.00000,-0.95409,-1.00000,-0.99238,-1.00000
0.1150,-1.00000,-0.96850,-0.99947,-0.99268,-1.00000
0.1320,-1.00000,-0.97048,-0.99894,-0.99325,-1.00000
0.1490,-1.00000,-0.97048,-0.99894,-0.99325,-1.00000
0.1650,-1.00000,-0.97048,-0.99894,-0.99325,-1.00000
0.1820,-1.00000,-0.97048,-0.99894,-0.99325,-1.00000
0.1990,-1.00000,-0.97048,-0.99894,-0.99325,-1.00000
0.2150,-1.00000,-0.97048,-0.99894,-0.99325,-1.00000
0.2320,-1.00000,-0.97048,-0.99894,-0.99325,-1.00000
0.2490,-1.00000,-0.99845,-1.00000,-0.99066,-1.00000
0.2650,-1.00000,-0.99173,-1.00000,-0.98665,-1.00000
0.2810,-1.00000,-0.99173,-1.00000,-0.98665,-1.00000
0.2970,-1.00000,-0.98716,-1.00000,-0.98579,-1.00000
0.3130,-1.00000,-0.98716,-1.00000,-0.98579,-1.00000
0.3300,-1.00000,-0.98716,-1.00000,-0.98579,-1.00000
0.3460,-1.00000,-0.98716,-1.00000,-0.98579,-1.00000
0.3630,-1.00000,-1.00000,-1.00000,-0.98494,-1.00000
0.3790,-1.00000,-1.00000,-1.00000,-0.97953,-1.00000
0.3960,-1.00000,-1.00000,-1.00000,-0.97953,-1.00000
0.4130,-1.00000,-1.00000,-1.00000,-0.97866,-1.00000
0.4300,-1.00000,-1.00000,-1.00000,-0.97866,-1.00000
0.4460,-1.00000,-1.00000,-1.00000,-0.97866,-1.00000
0.4620,-1.00000,-1.00000,-1.00000,-0.97866,-1.00000
0.4790,-1.00000,-0.99915,-1.00000,-0.97495,-1.00000
0.4960,-1.00000,-1.00000,-1.00000,-0.97065,-1.00000
0.5130,-1.00000,-1.00000,-1.00000,-0.97065,-1.00000
0.5290,-1.00000,-1.00000,-1.00000,-0.97065,-1.00000
0.5460,-1.00000,-1.00000,-1.00000,-0.97065,-1.00000
0.5640,-1.00000,-1.00000,-1.00000,-0.97065,-1.00000
0.5810,-1.00000,-1.00000,-1.00000,-0.97065,-1.00000
0.5970,-1.00000,-1.00000,-1.00000,-0.97065,-1.00000
0.6130,-1.00000,-1.00000,-1.00000,-0.97065,-1.00000
0.6310,-1.00000,-1.00000,-1.00000,-0.97065,-1.00000
0.6480,-1.00000,-1.00000,-1.00000,-0.97065,-1.00000
0.6640,-1.00000,-0.99996,-1.00000,-0.97293,-1.00000
0.6830,-1.00000,-0.96849,-1.00000,-0.98318,-1.00000
0.6990,-1.00000,-0.96589,-1.00000,-0.98375,-1.00000
0.7170,-1.00000,-0.96823,-1.00000,-0.98832,-1.00000
0.7330,-1.00000,-0.96823,-1.00000,-0.98832,-1.00000
0.7500,-1.00000,-0.96823,-1.00000,-0.98832,-1.00000
