time_s,Thumb,Index,Middle,Ring,Pinky
0.0170,0.00000,0.00000,0.00000,0.00000,0.00000
0.0330,0.00000,0.00000,0.00000,0.00000,0.00000
0.0500,-1.00000,-0.98901,-1.00000,-0.98075,-1.00000
0.0670,-1.00000,-0.98901,-1.00000,-0.98075,-1.00000
0.0850,-1.00000,-0.98901,-1.00000,-0.98075,-1.00000
0.1010,-1.00000,-0.98901,-1.00000,-0.98075,-1.00000
0.1180,-1.00000,-0.98312,-1.00000,-0.99098,-1.00000
0.1340,-1.00000,-0.98272,-1.00000,-0.98365,-1.00000
0.1500,-1.00000,-0.98272,-1.00000,-0.98365,-1.00000
0.1670,-1.00000,-0.98272,-1.00000,-0.98365,-1.00000
0.1840,-1.00000,-0.98272,-1.00000,-0.98365,-1.00000
0.2000,-1.00000,-0.98272,-1.00000,-0.98365,-1.00000
0.2180,-1.00000,-0.98272,-1.00000,-0.98365,-1.00000
0.2360,-1.00000,-0.98272,-1.00000,-0.98365,-1.00000
0.2530,-1.00000,-0.98272,-1.00000,-0.98365,-1.00000
0.2700,-1.00000,-0.98272,-1.00000,-0.98365,-1.00000
0.2870,-1.00000,-0.98272,-1.00000,-0.98365,-1.00000
0.3040,-1.00000,-0.98273,-1.00000,-0.99457,-1.00000
0.3210,-1.00000,-0.98273,-1.00000,-0.99457,-1.00000
0.3380,-1.00000,-0.98273,-1.00000,-0.99457,-1.00000
0.3550,-1.00000,-0.97837,-1.00000,-0.99351,-1.00000
0.3720,-1.00000,-0.98343,-1.00000,-0.97975,-1.00000
0.3890,-1.00000,-0.98343,-1.00000,-0.97975,-1.00000
0.4060,-1.00000,-0.98343,-1.00000,-0.97975,-1.00000
0.4220,-1.00000,-0.98301,-1.00000,-0.98601,-1.00000
0.4390,-1.00000,-0.98301,-1.00000,-0.98601,-1.00000
0.4560,-1.00000,-0.98301,-1.00000,-0.98601,-1.00000
0.4720,-1.00000,-0.98027,-1.00000,-0.98338,-1.00000
0.4880,-1.00000,-0.98027,-1.00000,-0.98338,-1.00000
0.5040,-1.00000,-0.98027,-1.00000,-0.98338,-1.00000
0.5210,-1.00000,-0.98027,-1.00000,-0.98338,-1.00000
0.5380,-1.00000,-0.97407,-1.00000,-0.98182,-1.00000
0.5550,-1.00000,-0.97881,-1.00000,-0.98287,-1.00000
0.5720,-1.00000,-0.97881,-1.00000,-0.98287,-1.00000
0.5890,-1.00000,-0.97881,-1.00000,-0.98287,-1.00000
0.6050,-1.00000,-0.98402,-1.00000,-0.97608,-1.00000
0.6210,-1.00000,-0.98402,-1.00000,-0.97608,-1.00000
0.6380,-1.00000,-0.98402,-1.00000,-0.97608,-1.00000
