time_s,Thumb
0.0170,-1.00000
0.0340,-1.00000
0.0510,-1.00000
0.0680,-1.00000
0.0850,-1.00000
0.1020,-1.00000
0.1190,-1.00000
0.1360,-1.00000
0.1520,-1.00000
0.1680,-1.00000
0.1840,-1.00000
0.2000,-1.00000
0.2170,-1.00000
0.2330,-1.00000
0.2500,-1.00000
0.2670,-1.00000
0.2850,-1.00000
0.3010,-1.00000
0.3180,-1.00000
0.3350,-1.00000
0.3520,-1.00000
0.3690,-1.00000
0.3860,-1.00000
0.4030,-1.00000
0.4200,-1.00000
0.4360,-1.00000
0.4520,-1.00000
0.4690,-1.00000
0.4860,-1.00000
0.5030,-1.00000
0.5190,-1.00000
0.5360,-1.00000
0.5530,-1.00000
0.5700,-1.00000
0.5860,-1.00000
0.6020,-1.00000
0.6180,-1.00000
0.6340,-1.00000
0.6500,-1.00000
0.6670,-1.00000
0.6840,-1.00000
0.7010,-1.00000
0.7180,-1.00000
0.7350,-1.00000
0.7520,-1.00000
0.7680,-1.00000
0.7850,-1.00000
0.8020,-1.00000
0.8180,-1.00000
0.8340,-1.00000
0.8510,-1.00000
0.8680,-1.00000
0.8860,-1.00000
0.9020,-1.00000
0.9190,-1.00000
0.9360,-1.00000
0.9540,-1.00000
0.9710,-1.00000
0.9880,-1.00000
1.0050,-1.00000
1.0210,-1.00000
1.0380,-1.00000
1.0550,-1.00000
1.0710,-1.00000
1.0900,-1.00000
1.1070,-1.00000
1.1240,-1.00000
1.1400,-1.00000
1.1570,-1.00000
1.1750,-1.00000
1.1920,-1.00000
1.2090,-1.00000
1.2260,-1.00000
1.2430,-1.00000
1.2600,-1.00000
1.2760,-1.00000
1.2930,-1.00000
1.3090,-1.00000
1.3250,-1.00000
1.3420,-1.00000
1.3580,-1.00000
1.3740,-1.00000
1.3910,-1.00000
1.4080,-1.00000
1.4250,-1.00000
1.4410,-1.00000
1.4580,-1.00000
1.4750,-1.00000
1.4910,-1.00000
1.5080,-1.00000
1.5250,-1.00000
1.5410,-1.00000
1.5580,-1.00000
1.5750,-1.00000
1.5920,-1.00000
1.6090,-1.00000
1.6260,-1.00000
1.6430,-1.00000
1.6590,-1.00000
1.6760,-1.00000
1.6930,-1.00000
1.7100,-1.00000
1.7270,-1.00000
1.7450,-1.00000
1.7620,-1.00000
1.7790,-1.00000
1.7950,-1.00000
1.8120,-1.00000
1.8290,-1.00000
1.8460,-1.00000
1.8630,-1.00000
1.8790,-1.00000
1.8960,-1.00000
1.9120,-1.00000
1.9300,-1.00000
1.9470,-1.00000
1.9640,-1.00000
1.9820,-1.00000
1.9980,-1.00000
2.0150,-1.00000
2.0320,-1.00000
2.0480,-1.00000
2.0650,-1.00000
2.0820,-1.00000
2.0980,-1.00000
2.1150,-1.00000
2.1310,-1.00000
2.1480,-1.00000
2.1660,-1.00000
2.1820,-1.00000
2.2000,-1.00000
2.2160,-1.00000
2.2330,-1.00000
2.2490,-1.00000
2.2650,-1.00000
2.2810,-1.00000
2.2980,-1.00000
2.3150,-1.00000
2.3310,-1.00000
2.3480,-1.00000
2.3640,-1.00000
2.3800,-1.00000
2.3970,-1.00000
2.4150,-1.00000
2.4310,-1.00000
2.4470,-1.00000
2.4630,-1.00000
2.4800,-1.00000
2.4970,-1.00000
2.5140,-1.00000
2.5310,-1.00000
2.5470,-1.00000
2.5630,-1.00000
2.5790,-1.00000
2.5950,-1.00000
2.6110,-1.00000
2.6280,-1.00000
2.6440,-1.00000
2.6610,-1.00000
2.6790,-1.00000
2.6950,-1.00000
2.7110,-1.00000
2.7270,-1.00000
2.7440,-1.00000
2.7610,-1.00000
2.7770,-1.00000
2.7930,-1.00000
2.8100,-1.00000
2.8270,-1.00000
2.8430,-1.00000
2.8600,-1.00000
2.8770,-1.00000
2.8940,-1.00000
2.9110,-1.00000
2.9270,-1.00000
2.9430,-1.00000
2.9600,-1.00000
2.9760,-1.00000
2.9930,-1.00000
3.0100,-1.00000
3.0270,-1.00000
3.0450,-1.00000
3.0620,-1.00000
3.0790,-1.00000
3.0960,-1.00000
3.1130,-1.00000
3.1290,-1.00000
3.1460,-1.00000
3.1630,-1.00000
3.1800,-1.00000
3.1970,-1.00000
3.2140,-1.00000
3.2300,-1.00000
3.2470,-1.00000
3.2640,-1.00000
3.2800,-1.00000
3.2960,-1.00000
3.3130,-1.00000
3.3290,-1.00000
3.3460,-1.00000
3.3630,-1.00000
3.3800,-1.00000
3.3960,-1.00000
3.4120,-1.00000
3.4290,-1.00000
3.4450,-1.00000
3.4620,-1.00000
3.4790,-1.00000
3.4960,-1.00000
3.5130,-1.00000
3.5290,-1.00000
3.5460,-1.00000
3.5640,-1.00000
3.5800,-1.00000
3.5960,-1.00000
3.6120,-1.00000
3.6280,-1.00000
3.6450,-1.00000
3.6620,-1.00000
3.6790,-1.00000
3.6950,-1.00000
3.7110,-1.00000
3.7280,-1.00000
3.7450,-1.00000
3.7610,-1.00000
3.7780,-1.00000
3.7950,-1.00000
3.8110,-1.00000
3.8280,-1.00000
3.8440,-1.00000
3.8610,-1.00000
3.8770,-1.00000
3.8930,-1.00000
3.9090,-1.00000
3.9260,-1.00000
3.9430,-1.00000
3.9590,-1.00000
3.9760,-1.00000
3.9940,-1.00000
4.0110,-1.00000
4.0270,-1.00000
4.0440,-1.00000
4.0620,-1.00000
4.0790,-1.00000
4.0960,-1.00000
4.1120,-1.00000
4.1280,-1.00000
4.1450,-1.00000
4.1620,-1.00000
4.1790,-1.00000
4.1950,-1.00000
4.2120,-1.00000
4.2290,-1.00000
4.2450,-1.00000
4.2610,-1.00000
4.2780,-1.00000
4.2950,-1.00000
4.3120,-1.00000
4.3290,-1.00000
4.3460,-1.00000
4.3630,-1.00000
4.3800,-1.00000
4.3960,-1.00000
4.4120,-1.00000
4.4290,-1.00000
4.4450,-1.00000
4.4620,-1.00000
4.4790,-1.00000
4.4960,-1.00000
4.5120,-1.00000
4.5290,-1.00000
4.5460,-1.00000
4.5630,-1.00000
4.5800,-1.00000
4.5970,-1.00000
4.6140,-1.00000
4.6300,-1.00000
4.6470,-1.00000
4.6650,-1.00000
4.6830,-1.00000
4.7000,-1.00000
4.7160,-1.00000
4.7330,-1.00000
4.7500,-1.00000
4.7660,-1.00000
4.7820,-1.00000
4.7980,-1.00000
4.8150,-1.00000
4.8310,-1.00000
4.8480,-1.00000
4.8640,-1.00000
4.8800,-1.00000
4.8960,-1.00000
4.9120,-1.00000
4.9280,-1.00000
4.9450,-1.00000
4.9620,-1.00000
4.9800,-1.00000
4.9970,-1.00000
5.0140,-1.00000
5.0300,-1.00000
5.0460,-1.00000
5.0630,-1.00000
5.0800,-1.00000
5.0970,-1.00000
5.1130,-1.00000
5.1290,-1.00000
5.1460,-1.00000
5.1630,-1.00000
5.1800,-1.00000
5.1980,-1.00000
5.2150,-1.00000
5.2310,-1.00000
5.2470,-1.00000
5.2640,-1.00000
5.2800,-1.00000
5.2960,-1.00000
5.3120,-1.00000
5.3280,-1.00000
5.3450,-1.00000
5.3610,-1.00000
5.3780,-1.00000
5.3940,-1.00000
5.4100,-1.00000
