time_s,Thumb,Index,Middle,Ring,Pinky
0.0160,0.00000,0.00000,0.00000,0.00000,0.00000
0.0330,0.00000,0.00000,0.00000,0.00000,0.00000
0.0500,-1.00000,-1.00000,-0.98810,-0.95736,-0.93050
0.0670,-1.00000,-1.00000,-0.98810,-0.95736,-0.93050
0.0830,-1.00000,-1.00000,-0.98810,-0.95736,-0.93050
0.1000,-1.00000,-1.00000,-0.98810,-0.95736,-0.93050
0.1160,-1.00000,-1.00000,-0.99023,-0.95649,-0.92132
0.1330,-1.00000,-1.00000,-0.99023,-0.95649,-0.92132
0.1490,-1.00000,-1.00000,-0.99023,-0.95649,-0.92132
0.1650,-1.00000,-1.00000,-0.99300,-0.95565,-0.92232
0.1830,-1.00000,-1.00000,-0.99300,-0.95565,-0.92232
0.1990,-1.00000,-1.00000,-0.99300,-0.95565,-0.92232
0.2150,-1.00000,-1.00000,-0.99300,-0.95565,-0.92232
0.2320,-1.00000,-1.00000,-0.98707,-0.96528,-0.92383
0.2480,-1.00000,-1.00000,-1.00000,-0.96022,-0.92584
0.2650,-1.00000,-1.00000,-1.00000,-0.96022,-0.92584
0.2810,-1.00000,-1.00000,-1.00000,-0.95855,-0.92228
0.2970,-1.00000,-1.00000,-0.96077,-0.96978,-0.93347
0.3130,-1.00000,-1.00000,-0.96077,-0.96978,-0.93347
0.3300,-1.00000,-1.00000,-0.96077,-0.96978,-0.93347
0.3470,-1.00000,-1.00000,-0.95298,-0.96186,-0.93091
0.3640,-1.00000,-1.00000,-0.95298,-0.96186,-0.93091
0.3820,-1.00000,-1.00000,-0.95298,-0.96186,-0.93091
0.3990,-1.00000,-1.00000,-0.95298,-0.96186,-0.93091
0.4160,-1.00000,-1.00000,-0.88500,-0.95589,-0.94985
0.4330,-1.00000,-1.00000,-0.84617,-0.95005,-0.94324
0.4500,-1.00000,-1.00000,-0.84617,-0.95005,-0.94324
0.4670,-1.00000,-1.00000,-0.83539,-0.94880,-0.94273
0.4840,-1.00000,-1.00000,-0.83539,-0.94880,-0.94273
0.5010,-1.00000,-1.00000,-0.83539,-0.94880,-0.94273
0.5170,-1.00000,-1.00000,-0.83539,-0.94880,-0.94273
0.5340,-1.00000,-1.00000,-0.74241,-0.94092,-0.92594
0.5510,-1.00000,-1.00000,-0.69033,-0.93594,-0.93255
0.5670,-1.00000,-1.00000,-0.69033,-0.93594,-0.93255
0.5840,-1.00000,-1.00000,-0.66838,-0.93132,-0.93255
0.6000,-1.00000,-1.00000,-0.62735,-0.93340,-0.94589
0.6170,-1.00000,-1.00000,-0.62735,-0.93340,-0.94589
0.6330,-1.00000,-1.00000,-0.62735,-0.93340,-0.94589
0.6500,-1.00000,-1.00000,-0.59330,-0.92547,-0.94998
0.6660,-1.00000,-1.00000,-0.59330,-0.92547,-0.94998
0.6840,-1.00000,-1.00000,-0.59330,-0.92547,-0.94998
0.7010,-1.00000,-1.00000,-0.59330,-0.92547,-0.94998
0.7170,-1.00000,-1.00000,-0.59330,-0.92547,-0.94998
0.7330,-1.00000,-1.00000,-0.59330,-0.92547,-0.94998
0.7500,-1.00000,-1.00000,-0.59330,-0.92547,-0.94998
